Country Name,Country Code,2014
Aruba,ABW,
Afghanistan,AFG,2.932833722
Angola,AGO,2.124912195
Albania,ALB,2.936373275
Andorra,AND,6.341446004
Arab World,ARB,3.034326397
United Arab Emirates,ARE,2.636151579
Argentina,ARG,2.652673798
Armenia,ARM,1.925675667
American Samoa,ASM,
Antigua and Barbuda,ATG,3.784610676
Australia,AUS,6.316592658
Austria,AUT,8.72502572
Azerbaijan,AZE,1.230967479
Burundi,BDI,3.973727557
Belgium,BEL,8.249989469
Benin,BEN,2.251196286
Burkina Faso,BFA,2.593973739
Bangladesh,BGD,0.786532509
Bulgaria,BGR,4.60763146
Bahrain,BHR,3.150500297
"Bahamas, The",BHS,3.550672696
Bosnia and Herzegovina,BIH,6.813077082
Belarus,BLR,3.741755251
Belize,BLZ,3.879657845
Bermuda,BMU,
Bolivia,BOL,4.565377537
Brazil,BRA,3.831759885
Barbados,BRB,4.744632219
Brunei Darussalam,BRN,2.485567877
Bhutan,BTN,2.615039654
Botswana,BWA,3.193884455
Central African Republic,CAF,2.056942983
Canada,CAN,7.411931884
Central Europe and the Baltics,CEB,5.019818189
Switzerland,CHE,7.695117355
Channel Islands,CHI,
Chile,CHL,3.851309424
China,CHN,3.095174286
Cote d'Ivoire,CIV,1.678538491
Cameroon,CMR,0.938633691
"Congo, Dem. Rep.",COD,1.59835647
"Congo, Rep.",COG,4.211920852
Colombia,COL,5.409943154
Comoros,COM,2.217320352
Cabo Verde,CPV,3.557226753
Costa Rica,CRI,6.76760152
Caribbean small states,CSS,3.264321468
Cuba,CUB,10.57366249
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,3.332019222
Czech Republic,CZE,6.264976383
Germany,DEU,8.697237324
Djibouti,DJI,6.750847587
Dominica,DMA,3.767972854
Denmark,DNK,9.158734109
Dominican Republic,DOM,2.927375648
Algeria,DZA,5.24414553
East Asia & Pacific (excluding high income),EAP,2.899310219
Early-demographic dividend,EAR,2.677973648
East Asia & Pacific,EAS,4.56337867
Europe & Central Asia (excluding high income),ECA,3.769963405
Europe & Central Asia,ECS,7.165141017
Ecuador,ECU,4.508156573
"Egypt, Arab Rep.",EGY,2.155384501
Euro area,EMU,8.000742415
Eritrea,ERI,1.527464004
Spain,ESP,6.399991901
Estonia,EST,5.028395902
Ethiopia,ETH,2.86756675
European Union,EUU,7.81873911
Fragile and conflict affected situations,FCS,2.498535276
Finland,FIN,7.289814273
Fiji,FJI,2.95320811
France,FRA,9.024514376
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,12.43375207
Gabon,GAB,2.350580925
United Kingdom,GBR,7.578850169
Georgia,GEO,1.552730538
Ghana,GHA,2.128885085
Gibraltar,GIB,
Guinea,GIN,2.736244781
"Gambia, The",GMB,5.045612515
Guinea-Bissau,GNB,1.145122307
Equatorial Guinea,GNQ,2.932710442
Greece,GRC,4.985039193
Grenada,GRD,2.827357413
Greenland,GRL,
Guatemala,GTM,2.334729015
Guam,GUM,
Guyana,GUY,3.119698091
High income,HIC,7.665194916
"Hong Kong SAR, China",HKG,
Honduras,HND,4.41783425
Heavily indebted poor countries (HIPC),HPC,2.521823939
Croatia,HRV,6.388287591
Haiti,HTI,1.559516418
Hungary,HUN,4.883081909
IBRD only,IBD,3.158675102
IDA & IBRD total,IBT,3.056803092
IDA total,IDA,1.672863073
IDA blend,IDB,1.383597259
Indonesia,IDN,1.075536301
IDA only,IDX,1.996006272
Isle of Man,IMN,
India,IND,1.407237618
Not classified,INX,
Ireland,IRL,5.141484076
"Iran, Islamic Rep.",IRN,2.840802145
Iraq,IRQ,3.33814899
Iceland,ISL,7.179705939
Israel,ISR,4.751695808
Italy,ITA,6.992651033
Jamaica,JAM,2.808578033
Jordan,JOR,5.193101946
Japan,JPN,8.550081685
Kazakhstan,KAZ,2.367903087
Kenya,KEN,3.503866058
Kyrgyz Republic,KGZ,3.639437553
Cambodia,KHM,1.251042011
Kiribati,KIR,8.291027024
St. Kitts and Nevis,KNA,2.144605023
"Korea, Rep.",KOR,3.985248041
Kuwait,KWT,2.614422533
Latin America & Caribbean (excluding high income),LAC,3.811712197
Lao PDR,LAO,0.942733752
Lebanon,LBN,3.043924599
Liberia,LBR,3.159243036
Libya,LBY,3.654079159
St. Lucia,LCA,3.599295246
Latin America & Caribbean,LCN,3.8334399
Least developed countries: UN classification,LDC,1.87138033
Low income,LIC,2.436762273
Liechtenstein,LIE,
Sri Lanka,LKA,1.96395333
Lower middle income,LMC,1.665472284
Low & middle income,LMY,3.029589901
Lesotho,LSO,8.082167603
Late-demographic dividend,LTE,3.377495848
Lithuania,LTU,4.446889612
Luxembourg,LUX,5.822836062
Latvia,LVA,3.715231982
"Macao SAR, China",MAC,
St. Martin (French part),MAF,
Morocco,MAR,2.001326276
Monaco,MCO,3.841098459
Moldova,MDA,5.303988304
Madagascar,MDG,1.473414605
Maldives,MDV,10.75705209
Middle East & North Africa,MEA,3.208712473
Mexico,MEX,3.259551574
Marshall Islands,MHL,14.44916839
Middle income,MIC,3.044771451
"Macedonia, FYR",MKD,4.101420638
Mali,MLI,1.568172106
Malta,MLT,6.74343039
Myanmar,MMR,1.044899804
Middle East & North Africa (excluding high income),MNA,3.124375879
Montenegro,MNE,3.66738093
Mongolia,MNG,2.620572882
Northern Mariana Islands,MNP,
Mozambique,MOZ,3.936734776
Mauritania,MRT,1.871016263
Mauritius,MUS,2.364685746
Malawi,MWI,5.998620835
Malaysia,MYS,2.300290016
North America,NAC,8.197537397
Namibia,NAM,5.357137699
New Caledonia,NCL,
Niger,NER,3.214493821
Nigeria,NGA,0.922535127
Nicaragua,NIC,5.095797672
Netherlands,NLD,9.481132729
Norway,NOR,8.3096182
Nepal,NPL,2.337819114
Nauru,NRU,2.867666324
New Zealand,NZL,9.082656345
OECD members,OED,7.687635378
Oman,OMN,3.190228575
Other small states,OSS,3.02770459
Pakistan,PAK,0.918811474
Panama,PAN,5.878366088
Peru,PER,3.31875118
Philippines,PHL,1.614685219
Palau,PLW,6.531970262
Papua New Guinea,PNG,3.46554272
Poland,POL,4.507639603
Pre-demographic dividend,PRE,1.946812348
Puerto Rico,PRI,
"Korea, Dem. People?s Rep.",PRK,
Portugal,PRT,6.158189113
Paraguay,PRY,4.502240378
West Bank and Gaza,PSE,
Pacific island small states,PSS,4.568710742
Post-demographic dividend,PST,7.922569679
French Polynesia,PYF,
Qatar,QAT,1.87539141
Romania,ROU,4.47447755
Russian Federation,RUS,3.690922808
Rwanda,RWA,2.86940115
South Asia,SAS,1.367664019
Saudi Arabia,SAU,3.490789741
Sudan,SDN,1.802361864
Senegal,SEN,2.41795607
Singapore,SGP,2.054683314
Solomon Islands,SLB,4.640482319
Sierra Leone,SLE,1.883801856
El Salvador,SLV,4.469508324
San Marino,SMR,5.736058813
Somalia,SOM,
Serbia,SRB,6.416505605
Sub-Saharan Africa (excluding high income),SSA,2.315796745
South Sudan,SSD,1.136916297
Sub-Saharan Africa,SSF,2.316432681
Small states,SST,3.085053552
Sao Tome and Principe,STP,3.612254726
Suriname,SUR,2.94062408
Slovak Republic,SVK,5.839599202
Slovenia,SVN,6.623821787
Sweden,SWE,10.02469431
Swaziland,SWZ,7.004909495
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,3.107242732
Syrian Arab Republic,SYR,1.507165795
Turks and Caicos Islands,TCA,
Chad,TCD,1.978950162
East Asia & Pacific (IDA & IBRD countries),TEA,2.899381853
Europe & Central Asia (IDA & IBRD countries),TEC,3.857072668
Togo,TGO,2.01732113
Thailand,THA,3.208425189
Tajikistan,TJK,1.983765009
Turkmenistan,TKM,1.348530564
Latin America & the Caribbean (IDA & IBRD countries),TLA,3.737617442
Timor-Leste,TLS,1.333631084
Middle East & North Africa (IDA & IBRD countries),TMN,3.124375879
Tonga,TON,4.265698947
South Asia (IDA & IBRD),TSA,1.367664019
Sub-Saharan Africa (IDA & IBRD countries),TSS,2.316432681
Trinidad and Tobago,TTO,3.174627521
Tunisia,TUN,3.968816495
Turkey,TUR,4.193778969
Tuvalu,TUV,16.40476191
Tanzania,TZA,2.589958711
Uganda,UGA,1.801251317
Ukraine,UKR,3.604521121
Upper middle income,UMC,3.424425307
Uruguay,URY,6.111484304
United States,USA,8.278517711
Uzbekistan,UZB,3.11124825
St. Vincent and the Grenadines,VCT,4.385223105
"Venezuela, RB",VEN,1.542765946
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,3.820019105
Vanuatu,VUT,4.510749546
World,WLD,5.986129854
Samoa,WSM,6.536868986
Kosovo,XKX,
"Yemen, Rep.",YEM,1.271870986
South Africa,ZAF,4.24326873
Zambia,ZMB,2.760094545
Zimbabwe,ZWE,2.466495269
